🚀 Starting WebSocket server on port 5000...
✅ WebSocket server ready - waiting for connections...
🎯 Starting BPF monitoring - waiting for DASH traffic on port 8000...
🔍 Starting TCP metrics monitoring for DASH traffic...
✅ eBPF agent and WebSocket server are running in the background.
📡 DASH: 2.9kbps, RTT: 488.3ms (10.0.0.1:8000 → 10.0.0.2:49528)
📡 DASH: 8.8kbps, RTT: 174.6ms (10.0.0.1:8000 → 10.0.0.2:49534)
📡 DASH: 8.8kbps, RTT: 210.3ms (10.0.0.1:8000 → 10.0.0.2:49534)
📡 DASH: 8.8kbps, RTT: 246.1ms (10.0.0.1:8000 → 10.0.0.2:49534)
📡 DASH: 16.8kbps, RTT: 271.6ms (10.0.0.1:8000 → 10.0.0.2:49534)
📡 DASH: 16.8kbps, RTT: 272.0ms (10.0.0.1:8000 → 10.0.0.2:49550)
📡 DASH: 16.8kbps, RTT: 238.1ms (10.0.0.1:8000 → 10.0.0.2:49550)
📡 DASH: 3.2kbps, RTT: 205.5ms (10.0.0.1:8000 → 10.0.0.2:49552)
📡 DASH: 3.2kbps, RTT: 178.1ms (10.0.0.1:8000 → 10.0.0.2:49558)
📡 DASH: 3.2kbps, RTT: 159.6ms (10.0.0.1:8000 → 10.0.0.2:49558)
📡 DASH: 3.2kbps, RTT: 166.2ms (10.0.0.1:8000 → 10.0.0.2:49558)
📡 DASH: 3.2kbps, RTT: 186.6ms (10.0.0.1:8000 → 10.0.0.2:49558)
📡 DASH: 3255.2kbps, RTT: 310.3ms (10.0.0.1:8000 → 10.0.0.2:49558)
📡 DASH: 4624.4kbps, RTT: 446.2ms (10.0.0.1:8000 → 10.0.0.2:49558)
📡 DASH: 3255.2kbps, RTT: 507.1ms (10.0.0.1:8000 → 10.0.0.2:49572)
📡 DASH: 3255.2kbps, RTT: 568.0ms (10.0.0.1:8000 → 10.0.0.2:49572)
📡 DASH: 4.6kbps, RTT: 550.7ms (10.0.0.1:8000 → 10.0.0.2:57508)
📡 DASH: 4.6kbps, RTT: 428.8ms (10.0.0.1:8000 → 10.0.0.2:57508)
📡 DASH: 4.6kbps, RTT: 289.9ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 4.6kbps, RTT: 226.0ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 4.6kbps, RTT: 162.1ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 8815.8kbps, RTT: 166.2ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 7656.2kbps, RTT: 209.6ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 7656.2kbps, RTT: 387.4ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 7656.2kbps, RTT: 565.2ms (10.0.0.1:8000 → 10.0.0.2:57524)
📡 DASH: 2803.6kbps, RTT: 912.2ms (10.0.0.1:8000 → 10.0.0.2:57538)
📡 DASH: 2803.6kbps, RTT: 1255.5ms (10.0.0.1:8000 → 10.0.0.2:57538)
📡 DASH: 3.0kbps, RTT: 1215.0ms (10.0.0.1:8000 → 10.0.0.2:57540)
📡 DASH: 3.0kbps, RTT: 1039.4ms (10.0.0.1:8000 → 10.0.0.2:57540)
📡 DASH: 2.4kbps, RTT: 857.0ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 2.4kbps, RTT: 505.5ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 2.4kbps, RTT: 154.0ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 2.4kbps, RTT: 170.2ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 5788.9kbps, RTT: 219.0ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 18923.2kbps, RTT: 274.6ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 18923.2kbps, RTT: 480.0ms (10.0.0.1:8000 → 10.0.0.2:57546)
📡 DASH: 2503.5kbps, RTT: 675.6ms (10.0.0.1:8000 → 10.0.0.2:57562)
📡 DASH: 2503.5kbps, RTT: 848.3ms (10.0.0.1:8000 → 10.0.0.2:57562)
📡 DASH: 5.1kbps, RTT: 1045.8ms (10.0.0.1:8000 → 10.0.0.2:57576)
📡 DASH: 5.1kbps, RTT: 1243.4ms (10.0.0.1:8000 → 10.0.0.2:57576)
📡 DASH: 10.7kbps, RTT: 1054.9ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 78872.8kbps, RTT: 876.2ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 78872.8kbps, RTT: 697.4ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 7845.9kbps, RTT: 473.6ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 11344.6kbps, RTT: 270.1ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 11344.6kbps, RTT: 311.1ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 11344.6kbps, RTT: 499.2ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 2683.7kbps, RTT: 817.7ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 2683.7kbps, RTT: 1123.7ms (10.0.0.1:8000 → 10.0.0.2:57582)
📡 DASH: 1188.9kbps, RTT: 1456.5ms (10.0.0.1:8000 → 10.0.0.2:57584)
📡 DASH: 2.5kbps, RTT: 1397.0ms (10.0.0.1:8000 → 10.0.0.2:57358)
📡 DASH: 2.5kbps, RTT: 1190.2ms (10.0.0.1:8000 → 10.0.0.2:57358)
📡 DASH: 8.8kbps, RTT: 856.0ms (10.0.0.1:8000 → 10.0.0.2:57366)
📡 DASH: 8.8kbps, RTT: 521.8ms (10.0.0.1:8000 → 10.0.0.2:57366)
📡 DASH: 8.8kbps, RTT: 140.3ms (10.0.0.1:8000 → 10.0.0.2:57366)
📡 DASH: 11203.8kbps, RTT: 149.6ms (10.0.0.1:8000 → 10.0.0.2:57366)
📡 DASH: 8320.3kbps, RTT: 197.9ms (10.0.0.1:8000 → 10.0.0.2:57366)
📡 DASH: 8320.3kbps, RTT: 378.2ms (10.0.0.1:8000 → 10.0.0.2:57366)
